ISBN,Number,%,Publisher
"('9785995304654',)",2,0.015584820384945063,Книжники
"('9785995305255',)",2,0.015584820384945063,Книжники
"('9786013385372',)",2,0.015584820384945063,Фолиант
"('9786013385860',)",2,0.015584820384945063,Фолиант
"('9786177528820',)",2,0.015584820384945063,Гуманитарный Центр
"('9789661553155',)",2,0.015584820384945063,Литера Нова
"('9789661553308',)",2,0.015584820384945063,Литера Нова
"('9789965184253',)",2,0.015584820384945063,Фолиант
"('9790900303639',)",2,0.015584820384945063,Институт компьютерных исследований
"('996518335Х',)",2,0.015584820384945063,Аударма
"('ISSN 08696322',)",7,0.05454687134730772,РОССПЭН
